Distance_(pixels),Gray_Value
0,28167.801
1,28445.021
2,28361.707
3,28216.684
4,28211.441
5,27952.182
6,28160.355
7,28478.982
8,28636.730
9,28557.516
10,28416.318
11,28439.922
12,28378.342
13,28564.908
14,29029.992
15,29748.434
16,30610.850
17,31201.934
18,31538.504
19,31850.668
20,31906.562
21,31752.184
22,31885.723
23,31496.873
24,31607.918
25,31633.035
26,31734.598
27,31489.170
28,31911.127
29,32241.180
30,31361.746
31,31912.350
32,32153.115
33,31686.207
34,31365.139
35,31454.627
36,31208.434
37,31128.861
38,30456.148
39,30286.516
40,29587.648
41,29258.396
42,29341.725
43,29134.844
44,29135.613
45,28939.504
46,29390.957
47,29285.273
48,29023.895
49,28995.576
50,28894.426
51,29239.266
52,29120.158
53,29133.578
54,28953.855
